_id,name,price,category,category_name,stockQuantity,status,createdAt
0aa8dad23dbdfe9cb1312ccf,Dell Smartphone 84,89834.48,7ed0ca18acdfa7ff1ddf8a9e,Audio,67,True,2026-02-11T10:59:51.133654
df29b8fdb8fb8b3e142eee5a,Dell Tablet 80,12654.21,7ed0ca18acdfa7ff1ddf8a9e,Audio,43,True,2025-07-29T10:59:51.133681
873fca79ad54c1fc4765ccc5,Dell Headphones 3,28941.73,7ed0ca18acdfa7ff1ddf8a9e,Audio,34,True,2025-07-30T10:59:51.133693
71a2771abcc71abe01936303,Dell Smartphone 45,38024.97,f3bd1908babecdd05f998fd7,Electronics,12,True,2025-10-01T10:59:51.133700
cf09c49be8e479caabeefa89,Dell Laptop 44,89136.79,f3bd1908babecdd05f998fd7,Electronics,49,True,2026-01-14T10:59:51.133708
66bdaadc2e1c70573fbadd53,Sony Monitor 1,63480.2,d3d8cd3bdda64f7de8ebbf28,Laptops,55,True,2025-07-30T10:59:51.133715
6c1dfc011cae928efdebfd0a,Dell Headphones 1,146796.71,f3bd1908babecdd05f998fd7,Electronics,65,True,2026-03-17T10:59:51.133722
d6e774ff67cda1dbeee95488,Apple Laptop 78,127231.16,e94c824b17db5ec5cd92f113,Accessories,76,True,2026-01-26T10:59:51.133728
3a9cbf53967cbdb9c45df73e,Sony Smartphone 4,34170.77,e94c824b17db5ec5cd92f113,Accessories,10,True,2026-04-20T10:59:51.133734
c9e847eded96ce852aa3c4a2,Sony Smartphone 86,6214.37,d3d8cd3bdda64f7de8ebbf28,Laptops,33,True,2025-11-27T10:59:51.133741
c0399c79f7a9ae190d99e443,Samsung Monitor 50,50907.23,e94c824b17db5ec5cd92f113,Accessories,43,True,2026-03-22T10:59:51.133747
bd340fbfaae76ecfc8d7cc51,Sony Laptop 10,147424.18,e94c824b17db5ec5cd92f113,Accessories,98,True,2026-06-16T10:59:51.133753
9570cdc5de5aba862efe6bfd,Apple Smartphone 30,4245.28,d3d8cd3bdda64f7de8ebbf28,Laptops,51,True,2025-07-26T10:59:51.133759
db9e77aab2a5782fcfdafce9,Apple Monitor 99,146908.21,7ed0ca18acdfa7ff1ddf8a9e,Audio,87,True,2025-09-20T10:59:51.133765
6dcdac18dad6f28568eadb56,Sony Headphones 2,39320.85,f3bd1908babecdd05f998fd7,Electronics,42,True,2025-10-23T10:59:51.133771
ab67be4753abafeb6f8dbeea,Logitech Smartphone 73,11360.2,e94c824b17db5ec5cd92f113,Accessories,39,True,2025-07-17T10:59:51.133777
c7eb7d349bd0cfae84b77a4e,Dell Smartphone 50,146480.75,d3d8cd3bdda64f7de8ebbf28,Laptops,83,True,2026-02-12T10:59:51.133783
fba7f58fd6da2f1ef8beabfa,Dell Headphones 76,61370.94,7ed0ca18acdfa7ff1ddf8a9e,Audio,51,True,2026-03-07T10:59:51.133789
ff082b6d3983f8eeb561df4a,Sony Smartphone 28,107378.16,e94c824b17db5ec5cd92f113,Accessories,53,True,2026-05-05T10:59:51.133795
e3efaea6adec0a4b8ad00a6c,Sony Tablet 36,6877.31,f3bd1908babecdd05f998fd7,Electronics,100,True,2026-02-09T10:59:51.133801
bbb5b5bf7dcf59e5feeb8ccb,Logitech Tablet 54,37786.95,f3bd1908babecdd05f998fd7,Electronics,34,True,2026-04-10T10:59:51.133806
27e0dc0a0c1bcd37a7c1b68f,Sony Laptop 69,66835.8,7679a3bf9eb27dfa763adfcd,Mobile Devices,12,True,2025-09-08T10:59:51.133816
75eb3b2ca1f7fef64d3a1550,Dell Smartphone 87,146142.23,7679a3bf9eb27dfa763adfcd,Mobile Devices,38,True,2025-11-05T10:59:51.133823
5a4cdbe7a5e64319fabbb40a,Dell Monitor 65,85726.32,7679a3bf9eb27dfa763adfcd,Mobile Devices,89,True,2025-07-17T10:59:51.133829
d3f387decca2b842de3d2fd3,Apple Monitor 17,148551.38,d3d8cd3bdda64f7de8ebbf28,Laptops,96,True,2025-11-15T10:59:51.133834
53cedad67a2f7d2cb84cce94,Samsung Monitor 80,140824.29,d3d8cd3bdda64f7de8ebbf28,Laptops,100,True,2026-06-29T10:59:51.133841
d0dfc0249a8b1b19faae05ae,Logitech Laptop 93,112137.29,f3bd1908babecdd05f998fd7,Electronics,17,True,2026-04-12T10:59:51.133848
e08b01e21b55868dbebb94bd,Apple Headphones 78,43693.46,e94c824b17db5ec5cd92f113,Accessories,76,True,2025-08-15T10:59:51.133854
734f5afcaa4ffeb3eebc91f3,Logitech Smartphone 95,106795.64,f3bd1908babecdd05f998fd7,Electronics,56,True,2026-06-19T10:59:51.133863
0abdb99d1c614cacf43dad7f,Samsung Laptop 44,19626.64,7ed0ca18acdfa7ff1ddf8a9e,Audio,22,True,2026-02-15T10:59:51.133870
3adbbf9fa52521fbe5e71b4c,Sony Headphones 75,140383.39,e94c824b17db5ec5cd92f113,Accessories,94,True,2026-04-02T10:59:51.133876
c6f2ee32ffed24dad04fed7e,Samsung Laptop 55,116547.81,d3d8cd3bdda64f7de8ebbf28,Laptops,68,True,2025-07-19T10:59:51.133884
a68a2487fce59767d442819b,Apple Smartphone 21,24044.27,7679a3bf9eb27dfa763adfcd,Mobile Devices,18,True,2025-07-31T10:59:51.133890
de343f0cd5a51edea8e0d852,Samsung Headphones 50,125910.09,7679a3bf9eb27dfa763adfcd,Mobile Devices,10,True,2026-06-25T10:59:51.133897
ad4ae88db117daebccdff903,Logitech Laptop 22,36240.88,d3d8cd3bdda64f7de8ebbf28,Laptops,46,True,2026-05-16T10:59:51.133903
cfbac174dda9ee7c92eea793,Apple Laptop 75,105847.6,f3bd1908babecdd05f998fd7,Electronics,84,True,2026-04-23T10:59:51.133909
07143fd39edb65911cff43ab,Sony Monitor 27,137670.55,f3bd1908babecdd05f998fd7,Electronics,22,True,2025-11-25T10:59:51.133915
edfffdbc6e51c4b5eac7a56b,Dell Tablet 26,111954.66,f3bd1908babecdd05f998fd7,Electronics,84,True,2025-07-06T10:59:51.133920
d9eb6d98640a621aace39001,Samsung Headphones 67,13438.32,7679a3bf9eb27dfa763adfcd,Mobile Devices,89,True,2026-03-05T10:59:51.134093
dfbd1d7ac39bd48cbbf7ac5e,Sony Monitor 91,32983.93,7679a3bf9eb27dfa763adfcd,Mobile Devices,73,True,2025-11-12T10:59:51.134111
5fd5a9f533e66effcde124b2,Dell Laptop 51,107887.22,d3d8cd3bdda64f7de8ebbf28,Laptops,79,True,2025-12-31T10:59:51.134120
bac15324c16f6add2ebd2ac5,Dell Monitor 10,53588.37,e94c824b17db5ec5cd92f113,Accessories,46,True,2026-04-29T10:59:51.134127
b0aff4ccf47c4ae76a17b570,Samsung Laptop 98,149746.46,7ed0ca18acdfa7ff1ddf8a9e,Audio,46,True,2026-06-27T10:59:51.134132
ecd0726f8aecbe5b9b4aa0d1,Dell Headphones 85,146336.03,f3bd1908babecdd05f998fd7,Electronics,32,True,2025-07-04T10:59:51.134150
ff1ed25d3fc0f226c5cfafc0,Samsung Headphones 61,139352.23,7679a3bf9eb27dfa763adfcd,Mobile Devices,83,True,2025-10-21T10:59:51.134157
e85c6dad6406b2ca72bd1fad,Sony Headphones 21,26348.51,f3bd1908babecdd05f998fd7,Electronics,10,True,2025-08-13T10:59:51.134163
