order_id,user_id,product_id,quantity,unit_price,line_total,status,createdAt,order_totalAmount
a6f22df8d5a666d3ae2e213a,dafc171bccfea168f2d7a1ec,c92d2bc1e3db0b1d67cd4aa8,3,129127.81,387383.43,Processing,2026-04-05T10:59:51.138738,509450.15
a6f22df8d5a666d3ae2e213a,dafc171bccfea168f2d7a1ec,8aeebf8fee195df11f0e740f,2,61033.36,122066.72,Processing,2026-04-05T10:59:51.138738,509450.15
dcd8e560fdf3cec6f73fd654,8d81cd9a3daef23928e7eaaa,e08b01e21b55868dbebb94bd,1,43693.46,43693.46,Delivered,2026-06-06T10:59:51.139073,249406.84
dcd8e560fdf3cec6f73fd654,8d81cd9a3daef23928e7eaaa,27e0dc0a0c1bcd37a7c1b68f,1,66835.8,66835.8,Delivered,2026-06-06T10:59:51.139073,249406.84
dcd8e560fdf3cec6f73fd654,8d81cd9a3daef23928e7eaaa,ce2cdfcdf4314a1e14f4292e,1,138877.58,138877.58,Delivered,2026-06-06T10:59:51.139073,249406.84
f7bb7b364f0a7775f0bf617a,10a15ac6bc4296c5cceaf2cc,db9e77aab2a5782fcfdafce9,2,146908.21,293816.42,Delivered,2026-04-04T10:59:51.139142,351230.01
f7bb7b364f0a7775f0bf617a,10a15ac6bc4296c5cceaf2cc,0abdb99d1c614cacf43dad7f,1,19626.64,19626.64,Delivered,2026-04-04T10:59:51.139142,351230.01
f7bb7b364f0a7775f0bf617a,10a15ac6bc4296c5cceaf2cc,bbb5b5bf7dcf59e5feeb8ccb,1,37786.95,37786.95,Delivered,2026-04-04T10:59:51.139142,351230.01
dc6efb599d13851518acdcdc,08f93e7b4c36eaf02c5e98c9,ff082b6d3983f8eeb561df4a,3,107378.16,322134.48,Delivered,2026-04-20T10:59:51.139190,322134.48
2dc0a2a728ddb96facf3d2cf,cdcee608326e7bd6a232a26d,c0399c79f7a9ae190d99e443,2,50907.23,101814.46,Delivered,2026-06-17T10:59:51.139232,573767.88
2dc0a2a728ddb96facf3d2cf,cdcee608326e7bd6a232a26d,0aa8dad23dbdfe9cb1312ccf,2,89834.48,179668.96,Delivered,2026-06-17T10:59:51.139232,573767.88
2dc0a2a728ddb96facf3d2cf,cdcee608326e7bd6a232a26d,75eb3b2ca1f7fef64d3a1550,2,146142.23,292284.46,Delivered,2026-06-17T10:59:51.139232,573767.88
eac93ba4a97eefeb398a4df6,fefe0708fda20d1f5c2fbeca,0abdb99d1c614cacf43dad7f,3,19626.64,58879.92,Delivered,2026-06-04T10:59:51.139273,408699.33
eac93ba4a97eefeb398a4df6,fefe0708fda20d1f5c2fbeca,edfffdbc6e51c4b5eac7a56b,2,111954.66,223909.32,Delivered,2026-06-04T10:59:51.139273,408699.33
eac93ba4a97eefeb398a4df6,fefe0708fda20d1f5c2fbeca,de343f0cd5a51edea8e0d852,1,125910.09,125910.09,Delivered,2026-06-04T10:59:51.139273,408699.33
